label,pred,img_path,score,x,y
cat,cat,https://clusterfun.cc/cifar10/cat/0298.png,1.0,6.1956444,10.272816
cat,cat,https://clusterfun.cc/cifar10/cat/0267.png,1.0,5.2185345,8.79726
cat,cat,https://clusterfun.cc/cifar10/cat/0501.png,1.0,8.102391,9.786458
cat,cat,https://clusterfun.cc/cifar10/cat/0515.png,0.9084408,5.6871805,7.1191688
cat,dog,https://clusterfun.cc/cifar10/cat/0273.png,0.47149342,6.423946,8.49046
cat,cat,https://clusterfun.cc/cifar10/cat/0529.png,0.9999999,5.4481287,8.233705
cat,cat,https://clusterfun.cc/cifar10/cat/0918.png,0.99991393,6.4630427,10.266284
cat,cat,https://clusterfun.cc/cifar10/cat/0924.png,0.9999734,6.505726,10.146112
cat,cat,https://clusterfun.cc/cifar10/cat/0930.png,0.9999933,8.936129,9.018831
cat,cat,https://clusterfun.cc/cifar10/cat/0703.png,1.0,8.593945,8.446264
cat,cat,https://clusterfun.cc/cifar10/cat/0065.png,0.9975442,7.852072,9.681347
cat,cat,https://clusterfun.cc/cifar10/cat/0071.png,0.97179765,8.431831,8.912258
cat,cat,https://clusterfun.cc/cifar10/cat/0717.png,0.99888223,8.250461,9.712547
cat,cat,https://clusterfun.cc/cifar10/cat/0059.png,0.8941489,6.3134828,9.966827
cat,cat,https://clusterfun.cc/cifar10/cat/0878.png,1.0,8.939807,10.841155
cat,cat,https://clusterfun.cc/cifar10/cat/0850.png,0.99981326,6.911456,10.258673
cat,cat,https://clusterfun.cc/cifar10/cat/0688.png,1.0,6.1931877,8.137023
cat,cat,https://clusterfun.cc/cifar10/cat/0844.png,1.0,6.5571966,9.452155
cat,bird,https://clusterfun.cc/cifar10/cat/0677.png,0.99998224,7.7206054,9.18703
cat,cat,https://clusterfun.cc/cifar10/cat/0111.png,0.6957852,5.458635,9.009836
cat,cat,https://clusterfun.cc/cifar10/cat/0105.png,0.99963474,6.1683226,10.325342
cat,cat,https://clusterfun.cc/cifar10/cat/0663.png,0.9998547,5.5295553,9.723242
cat,cat,https://clusterfun.cc/cifar10/cat/0893.png,1.0,6.2177253,9.587598
cat,cat,https://clusterfun.cc/cifar10/cat/0139.png,0.8686827,6.5904026,8.2775755
cat,cat,https://clusterfun.cc/cifar10/cat/0887.png,0.9999882,6.598365,8.968067
cat,dog,https://clusterfun.cc/cifar10/cat/0313.png,0.5796079,6.358709,8.101899
cat,cat,https://clusterfun.cc/cifar10/cat/0475.png,0.99998116,6.184144,7.7236295
cat,cat,https://clusterfun.cc/cifar10/cat/0461.png,0.9975268,8.8463,9.953357
cat,cat,https://clusterfun.cc/cifar10/cat/0307.png,0.9973079,8.1357155,8.363222
cat,cat,https://clusterfun.cc/cifar10/cat/0449.png,0.94655555,5.5849185,9.756726
cat,cat,https://clusterfun.cc/cifar10/cat/0448.png,0.99996126,8.013933,9.640964
cat,cat,https://clusterfun.cc/cifar10/cat/0460.png,1.0,6.123207,10.40308
cat,cat,https://clusterfun.cc/cifar10/cat/0306.png,0.73220444,6.926322,8.021262
cat,frog,https://clusterfun.cc/cifar10/cat/0312.png,0.7026586,7.3820376,9.853143
cat,cat,https://clusterfun.cc/cifar10/cat/0474.png,0.99997663,6.7183027,10.190563
cat,cat,https://clusterfun.cc/cifar10/cat/0138.png,0.74954826,5.2104793,-10.941333
cat,cat,https://clusterfun.cc/cifar10/cat/0886.png,1.0,5.1192207,9.168168
cat,bird,https://clusterfun.cc/cifar10/cat/0892.png,0.636878,7.842332,8.66384
cat,cat,https://clusterfun.cc/cifar10/cat/0104.png,1.0,6.7721043,10.131744
cat,cat,https://clusterfun.cc/cifar10/cat/0662.png,0.98318154,6.936722,10.553314
cat,bird,https://clusterfun.cc/cifar10/cat/0676.png,0.42442822,5.5256476,9.323321
cat,cat,https://clusterfun.cc/cifar10/cat/0110.png,0.9999906,9.8376045,9.790236
cat,cat,https://clusterfun.cc/cifar10/cat/0845.png,0.95537955,9.57706,10.580761
cat,dog,https://clusterfun.cc/cifar10/cat/0689.png,0.99999964,9.009065,9.321578
cat,cat,https://clusterfun.cc/cifar10/cat/0851.png,1.0,4.593817,9.199048
cat,bird,https://clusterfun.cc/cifar10/cat/0879.png,0.94308573,9.539151,9.480666
cat,cat,https://clusterfun.cc/cifar10/cat/0058.png,1.0,6.292902,8.09018
cat,cat,https://clusterfun.cc/cifar10/cat/0070.png,1.0,7.0551796,9.295696
cat,cat,https://clusterfun.cc/cifar10/cat/0716.png,0.99999976,5.725402,7.7662764
cat,cat,https://clusterfun.cc/cifar10/cat/0702.png,0.9760291,8.269394,9.558266
cat,cat,https://clusterfun.cc/cifar10/cat/0064.png,0.9999887,6.6223598,9.074272
cat,cat,https://clusterfun.cc/cifar10/cat/0931.png,1.0,6.208723,10.38844
cat,cat,https://clusterfun.cc/cifar10/cat/0925.png,1.0,6.236951,9.220706
cat,cat,https://clusterfun.cc/cifar10/cat/0919.png,1.0,8.857341,10.915439
cat,cat,https://clusterfun.cc/cifar10/cat/0528.png,0.9998454,5.8929935,10.204097
cat,cat,https://clusterfun.cc/cifar10/cat/0514.png,0.5916441,6.219296,9.700301
cat,cat,https://clusterfun.cc/cifar10/cat/0272.png,0.9999989,7.4085793,9.85868
cat,cat,https://clusterfun.cc/cifar10/cat/0266.png,0.9955373,7.1745257,9.700344
cat,cat,https://clusterfun.cc/cifar10/cat/0500.png,0.9999261,8.850341,10.645005
cat,cat,https://clusterfun.cc/cifar10/cat/0299.png,0.99999976,6.2218504,9.3940115
cat,cat,https://clusterfun.cc/cifar10/cat/0270.png,1.0,7.160321,7.4950056
cat,automobile,https://clusterfun.cc/cifar10/cat/0516.png,0.72873944,7.0074506,10.780715
cat,cat,https://clusterfun.cc/cifar10/cat/0502.png,0.99993205,6.62905,-12.354899
cat,cat,https://clusterfun.cc/cifar10/cat/0264.png,1.0,6.0179577,8.227101
cat,cat,https://clusterfun.cc/cifar10/cat/0258.png,0.9999975,6.5438037,10.110132
cat,dog,https://clusterfun.cc/cifar10/cat/0933.png,0.99999905,6.9281535,8.79079
cat,cat,https://clusterfun.cc/cifar10/cat/0099.png,0.99999976,6.2724266,8.694295
cat,cat,https://clusterfun.cc/cifar10/cat/0927.png,0.93762845,7.505209,9.652477
cat,cat,https://clusterfun.cc/cifar10/cat/0714.png,0.78489393,5.9248657,8.788832
cat,cat,https://clusterfun.cc/cifar10/cat/0072.png,1.0,8.578229,10.193616
cat,cat,https://clusterfun.cc/cifar10/cat/0066.png,1.0,5.843041,8.045001
cat,cat,https://clusterfun.cc/cifar10/cat/0700.png,0.5892896,5.553169,9.061604
cat,cat,https://clusterfun.cc/cifar10/cat/0728.png,1.0,7.1868777,10.320915
cat,cat,https://clusterfun.cc/cifar10/cat/0847.png,0.9961953,6.5327187,8.320477
cat,dog,https://clusterfun.cc/cifar10/cat/0853.png,0.98677015,5.2576423,8.260282
cat,cat,https://clusterfun.cc/cifar10/cat/0660.png,0.66044927,6.7179356,8.880361
cat,cat,https://clusterfun.cc/cifar10/cat/0106.png,1.0,6.9624963,6.9229083
cat,cat,https://clusterfun.cc/cifar10/cat/0112.png,0.99591404,6.683433,8.220978
cat,cat,https://clusterfun.cc/cifar10/cat/0674.png,0.98310363,7.9905043,8.666567
cat,frog,https://clusterfun.cc/cifar10/cat/0884.png,0.999936,7.8881626,7.5964794
cat,cat,https://clusterfun.cc/cifar10/cat/0648.png,0.9999242,6.0500326,9.343555
cat,cat,https://clusterfun.cc/cifar10/cat/0890.png,0.9999989,7.2034783,9.026492
cat,cat,https://clusterfun.cc/cifar10/cat/0489.png,0.9056434,6.075263,9.110906
cat,cat,https://clusterfun.cc/cifar10/cat/0304.png,0.9996505,6.782874,8.4181595
cat,cat,https://clusterfun.cc/cifar10/cat/0462.png,0.9999931,6.407729,10.121008
cat,bird,https://clusterfun.cc/cifar10/cat/0476.png,0.99939203,7.66055,8.370965
cat,cat,https://clusterfun.cc/cifar10/cat/0310.png,0.9999962,6.7463875,10.3553505
cat,cat,https://clusterfun.cc/cifar10/cat/0338.png,0.9994504,5.2818017,8.725218
cat,cat,https://clusterfun.cc/cifar10/cat/0339.png,0.9999081,6.3094635,8.658477
cat,cat,https://clusterfun.cc/cifar10/cat/0477.png,0.9999118,8.643101,9.505352
cat,cat,https://clusterfun.cc/cifar10/cat/0311.png,1.0,7.1705556,10.744894
cat,cat,https://clusterfun.cc/cifar10/cat/0305.png,0.9543218,7.423632,8.316047
cat,cat,https://clusterfun.cc/cifar10/cat/0463.png,0.997419,6.603337,8.2327385
cat,cat,https://clusterfun.cc/cifar10/cat/0488.png,0.9999933,5.761161,10.00752
cat,cat,https://clusterfun.cc/cifar10/cat/0891.png,0.96926785,7.6965585,9.816814
cat,cat,https://clusterfun.cc/cifar10/cat/0649.png,0.9721005,7.359617,6.338705
cat,cat,https://clusterfun.cc/cifar10/cat/0885.png,1.0,6.8242116,8.3827915
cat,cat,https://clusterfun.cc/cifar10/cat/0113.png,0.9999994,8.149551,9.14821
cat,cat,https://clusterfun.cc/cifar10/cat/0675.png,0.97691923,7.0546036,8.131505
cat,cat,https://clusterfun.cc/cifar10/cat/0661.png,0.99900717,6.913144,8.918201
cat,cat,https://clusterfun.cc/cifar10/cat/0107.png,1.0,6.879721,10.645122
cat,cat,https://clusterfun.cc/cifar10/cat/0852.png,0.98024255,6.393284,10.469047
cat,cat,https://clusterfun.cc/cifar10/cat/0846.png,0.70822024,7.2456846,9.210033
cat,cat,https://clusterfun.cc/cifar10/cat/0729.png,0.9996418,5.9210453,7.184484
cat,cat,https://clusterfun.cc/cifar10/cat/0067.png,0.9999999,6.987744,9.801593
cat,cat,https://clusterfun.cc/cifar10/cat/0701.png,0.99999905,5.8206344,10.271117
cat,dog,https://clusterfun.cc/cifar10/cat/0715.png,0.7850428,5.3170276,7.7293086
cat,bird,https://clusterfun.cc/cifar10/cat/0073.png,0.99838376,9.080346,10.171777
cat,cat,https://clusterfun.cc/cifar10/cat/0098.png,0.9987165,6.4259725,9.118475
cat,cat,https://clusterfun.cc/cifar10/cat/0926.png,0.9967788,5.68377,8.760165
cat,deer,https://clusterfun.cc/cifar10/cat/0932.png,0.8072803,7.1331925,10.5855055
cat,cat,https://clusterfun.cc/cifar10/cat/0259.png,1.0,6.001358,8.823529
cat,cat,https://clusterfun.cc/cifar10/cat/0503.png,0.99999976,7.748515,7.4988866
cat,cat,https://clusterfun.cc/cifar10/cat/0265.png,0.9999999,6.1168346,10.114998
cat,cat,https://clusterfun.cc/cifar10/cat/0271.png,0.99983287,-12.115369,-20.253975
cat,cat,https://clusterfun.cc/cifar10/cat/0517.png,1.0,5.8038077,7.1415906
cat,cat,https://clusterfun.cc/cifar10/cat/0249.png,0.92593664,8.455702,8.793862
cat,cat,https://clusterfun.cc/cifar10/cat/0513.png,0.99999917,6.837898,8.505664
cat,cat,https://clusterfun.cc/cifar10/cat/0275.png,0.99999595,8.265374,9.093852
